tconst	 titleType	 primaryTitle	 isAdult	 startYear	 endYear	 runtimeMinutes	 genres	 region	 language	IMDB rating
tt0087852	movie	Ordeal by Innocence	0	1984	\N	90	"Mystery,Thriller"	FR	\N	5
tt0065214	movie	The Wild Bunch	0	1969	\N	135	"Action,Adventure,Western"	PE	\N	7.9
tt0124294	movie	Bice skoro propast sveta	0	1968	\N	84	"Drama,Romance"	XWW	en	7.1
tt0105699	movie	Unlawful Entry	0	1992	\N	117	"Crime,Drama,Thriller"	DK	\N	6.3
tt0030944	movie	Vivacious Lady	0	1938	\N	90	"Comedy,Romance"	SUHH	ru	7.3
tt2124803	movie	How to Survive a Plague	0	2012	\N	110	"Documentary,History,News"	US	\N	7.6
tt0120618	movie	Breakfast of Champions	0	1999	\N	110	Comedy	TR	tr	4.6
tt2024544	movie	12 Years a Slave	0	2013	\N	134	"Biography,Drama,History"	JP	\N	8.1
tt0164961	movie	Vidocq	0	2001	\N	98	"Action,Crime,Fantasy"	RS	\N	6.5
tt0091359	movie	Kukacka v temném lese	0	1985	\N	94	"Drama,War"	CZ	\N	6.8
tt0052117	movie	"Rally 'Round the Flag, Boys!"	0	1958	\N	106	Comedy	PL	\N	6.1
tt0491175	movie	Suburbicon	0	2017	\N	105	"Comedy,Crime,Drama"	AR	\N	5.7
tt0026932	movie	Riffraff	0	1936	\N	94	"Crime,Drama"	ES	\N	6.4
tt1519245	movie	Agnosia	0	2010	\N	105	"Drama,Thriller"	RU	\N	5.5
tt7167602	video	Suicide Squad: Hell to Pay	0	2018	\N	86	"Action,Animation,Fantasy"	MX	\N	7
tt0000225	short	La belle et la bête	0	1899	\N	\N	"Family,Fantasy,Romance"	\N	\N	5.4
tt0236034	movie	Born Romantic	0	2000	\N	96	"Comedy,Romance"	BR	\N	6.4
tt0064573	movie	Last Summer	0	1969	\N	95	Drama	XWG	\N	7
tt1485796	movie	The Greatest Showman	0	2017	\N	105	"Biography,Drama,Musical"	TR	tr	7.6
tt0248513	tvEpisode	Long Time Dead	0	1999	\N	103	"Crime,Drama,Mystery"	GB	\N	8
tt0195945	movie	Next Friday	0	2000	\N	98	Comedy	HU	\N	6.1
tt0024269	movie	Looking Forward	0	1933	\N	82	Drama	ES	\N	7.1
tt0009358	movie	The Mask	0	1918	\N	50	"Comedy,Drama"	US	\N	6.2
tt0039211	movie	Born to Kill	0	1947	\N	92	"Crime,Drama,Film-Noir"	FR	\N	7.2
tt0094961	movie	Dead Heat	0	1988	\N	86	"Action,Comedy,Horror"	IT	\N	6.1
tt0048445	movie	Oklahoma!	0	1955	\N	145	"Comedy,Drama,Musical"	AT	\N	7
tt0130073	movie	Legal Deceit	0	1997	\N	93	Thriller	US	\N	3.6
tt1674274	movie	Kolka Cool	0	2011	\N	97	"Comedy,Drama"	\N	\N	7.1
tt0047220	movie	Massacre Canyon	0	1954	\N	66	Western	GB	\N	5.6
tt0092090	movie	Thérèse	0	1986	\N	94	Drama	FR	\N	7.3
tt0071824	movie	McQ	0	1974	\N	111	"Action,Crime,Drama"	SUHH	ru	6.3
tt0376650	movie	Hipnos	0	2004	\N	93	"Drama,Horror,Thriller"	DE	\N	5.4
